微信支付账单明细,,,,,,,,
微信昵称：[可口可爱],,,,,,,,
起始时间：[2019-11-28 00:00:00] 终止时间：[2019-12-28 10:49:16],,,,,,,,
导出类型：[全部],,,,,,,,
导出时间：[2019-12-28 10:50:11],,,,,,,,
,,,,,,,,
共147笔记录,,,,,,,,
收入：147笔 44104.00元,,,,,,,,
支出：0笔 0.00元,,,,,,,,
中性交易：0笔 0.00元,,,,,,,,
注：,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,
,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2019-12-21 23:46:22,微信红包,Jun-桃桃🍑,"/",收入,¥168.00,/,已存入零钱,1000039501000912217018934796868	,1000039501201912217018934796868	,"/"
2019-12-21 23:46:18,微信红包,Jun-桃桃🍑,"/",收入,¥78.00,/,已存入零钱,1000039501000912217017581666861	,1000039501201912217017581666861	,"/"
2019-12-21 23:46:12,微信红包,Jun-桃桃🍑,"/",收入,¥38.00,/,已存入零钱,1000039501000912217018633972782	,1000039501201912217018633972782	,"/"
2019-12-21 23:46:06,微信红包,Jun-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912217017581665824	,1000039501201912217017581665824	,"/"
2019-12-21 23:46:02,微信红包,Jun-桃桃🍑,"/",收入,¥101.00,/,已存入零钱,1000039501000912217017570875868	,1000039501201912217017570875868	,"/"
2019-12-21 23:45:57,微信红包,Jun-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912217018933496897	,1000039501201912217018933496897	,"/"
2019-12-21 23:45:50,微信红包,Jun-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912217018602629814	,1000039501201912217018602629814	,"/"
2019-12-21 23:45:45,微信红包,Ying-桃桃🍑,"/",收入,¥30.00,/,已存入零钱,1000039501000912217018592813792	,1000039501201912217018592813792	,"/"
2019-12-21 23:45:37,微信红包,Ying-桃桃🍑,"/",收入,¥20.00,/,已存入零钱,1000039501000912217018894517758	,1000039501201912217018894517758	,"/"
2019-12-21 23:45:32,微信红包,Ying-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912217018562303727	,1000039501201912217018562303727	,"/"
2019-12-21 23:45:27,微信红包,Ying-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912217018592484877	,1000039501201912217018592484877	,"/"
2019-12-21 23:45:22,微信红包,Ying-桃桃🍑,"/",收入,¥48.00,/,已存入零钱,1000039501000912217018542964614	,1000039501201912217018542964614	,"/"
2019-12-20 21:41:12,微信红包,Jun-桃桃🍑,"/",收入,¥198.00,/,已存入零钱,1000039501000912207019921177623	,1000039501201912207019921177623	,"/"
2019-12-20 21:40:44,微信红包,Jun-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912207020293446727	,1000039501201912207020293446727	,"/"
2019-12-20 21:40:34,微信红包,Jun-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912207020293135706	,1000039501201912207020293135706	,"/"
